lx_ft,ly_ft,live_psf,method,h_in,M0_kipft,qu_psf,punch_ratio,punch_ok,defl_ratio,defl_ok,col_min_in,col_max_in,As_cs_in2,As_ms_in2,As_total_in2,runtime_s
16.0,18.0,50.0,EFM (HC),7.2047244094488185,102.36003674257464,211.04674783202367,0.7419073937811173,true,0.04311325571720244,true,16.0,16.0,8.4,3.2,11.6,0.026
16.0,18.0,50.0,EFM (ASAP),7.2047244094488185,102.36003674257464,211.04674783202367,0.730906819887976,true,0.04311325571720244,true,16.0,16.0,8.2,3.2,11.4,0.043
16.0,18.0,50.0,FEA,7.2047244094488185,102.36003674257464,211.04674783202367,0.844048564474052,true,0.0930268126632479,true,16.0,16.0,5.6,3.2,8.799999999999999,2.477
16.0,18.0,80.0,MDDM,7.2047244094488185,124.217912145442,259.0467478320237,0.9519665641310917,true,0.0689812091475239,true,16.0,20.0,7.3999999999999995,3.2,10.6,0.058
16.0,18.0,80.0,DDM (Full),7.2047244094488185,124.217912145442,259.0467478320237,0.9519665641310917,true,0.0689812091475239,true,16.0,20.0,7.799999999999999,3.2,10.999999999999998,0.079
16.0,18.0,80.0,EFM (HC),7.2047244094488185,125.640574415461,259.0467478320237,0.9106832202170998,true,0.0689812091475239,true,16.0,16.0,10.2,3.2,13.4,0.037
16.0,18.0,80.0,EFM (ASAP),7.2047244094488185,125.640574415461,259.0467478320237,0.8971426312189636,true,0.0689812091475239,true,16.0,16.0,9.799999999999999,3.2,13.0,0.044
16.0,18.0,80.0,FEA,7.2047244094488185,125.640574415461,259.0467478320237,0.9651638987526818,true,0.14678564413707745,true,16.0,16.0,6.4,3.2,9.6,2.411
16.0,20.0,40.0,MDDM,8.00524934383202,110.2579110622292,206.9408309244708,0.8874639972332207,true,0.02514365073427247,true,17.0,17.0,6.4,3.5999999999999996,10.0,0.069
16.0,20.0,40.0,DDM (Full),8.00524934383202,110.2579110622292,206.9408309244708,0.8874639972332207,true,0.02514365073427247,true,17.0,17.0,6.6000000000000005,3.5999999999999996,10.2,0.064
16.0,20.0,40.0,EFM (HC),8.00524934383202,110.2579110622292,206.9408309244708,0.6486399914666413,true,0.02514365073427247,true,17.0,17.0,8.2,3.5999999999999996,11.799999999999999,0.065
16.0,20.0,40.0,EFM (ASAP),8.00524934383202,110.2579110622292,206.9408309244708,0.6486399914666413,true,0.02514365073427247,true,17.0,17.0,7.999999999999999,3.5999999999999996,11.6,0.12
16.0,20.0,40.0,FEA,8.00524934383202,110.1005692462278,206.9408309244708,0.826289278249789,true,0.07018393821069757,true,17.0,19.0,6.199999999999999,3.5999999999999996,9.799999999999999,8.915
16.0,20.0,50.0,MDDM,8.00524934383202,118.7826984090024,222.94083092447076,0.9560798614505344,true,0.03142956341784063,true,17.0,17.0,6.6000000000000005,3.5999999999999996,10.2,0.056
16.0,20.0,50.0,DDM (Full),8.00524934383202,118.7826984090024,222.94083092447076,0.9560798614505344,true,0.03142956341784063,true,17.0,17.0,7.0,3.5999999999999996,10.6,0.068
16.0,20.0,50.0,EFM (HC),8.00524934383202,118.7826984090024,222.94083092447076,0.698790751068327,true,0.03142956341784063,true,17.0,17.0,8.6,3.5999999999999996,12.2,0.049
16.0,20.0,50.0,EFM (ASAP),8.00524934383202,118.7826984090024,222.94083092447076,0.698790751068327,true,0.03142956341784063,true,17.0,17.0,8.6,3.5999999999999996,12.2,0.126
16.0,20.0,50.0,FEA,8.00524934383202,118.7826984090024,222.94083092447076,0.8338789055464697,true,0.08750860358818689,true,17.0,17.0,6.199999999999999,3.5999999999999996,9.799999999999999,5.716
16.0,20.0,80.0,MDDM,8.00524934383202,142.71315924262908,270.94083092447073,0.8953922652818505,true,0.05028730146854498,true,17.0,21.0,7.6,3.5999999999999996,11.2,0.086
16.0,20.0,80.0,DDM (Full),8.00524934383202,142.71315924262908,270.94083092447073,0.8953922652818505,true,0.05028730146854498,true,17.0,21.0,7.999999999999999,3.5999999999999996,11.6,0.084
16.0,20.0,80.0,EFM (HC),8.00524934383202,144.35706044932212,270.94083092447073,0.8492430298733847,true,0.05028730146854498,true,17.0,17.0,10.2,3.5999999999999996,13.799999999999999,0.043
16.0,20.0,80.0,EFM (ASAP),8.00524934383202,144.35706044932212,270.94083092447073,0.8492430298733847,true,0.05028730146854498,true,17.0,17.0,10.2,3.5999999999999996,13.799999999999999,0.106
16.0,20.0,80.0,FEA,8.00524934383202,143.73949431234922,270.94083092447073,0.9693204402476469,true,0.14080885190037704,true,17.0,19.0,7.0,3.5999999999999996,10.6,8.705
16.0,22.0,40.0,MDDM,8.805774278215223,126.79404579930012,218.83491401691785,0.8374112378966925,true,0.01889079694535874,true,18.0,18.0,7.0,4.3999999999999995,11.4,0.065
16.0,22.0,40.0,DDM (Full),8.805774278215223,126.79404579930012,218.83491401691785,0.8374112378966925,true,0.01889079694535874,true,18.0,18.0,7.199999999999999,4.3999999999999995,11.6,0.059
16.0,22.0,40.0,EFM (HC),8.805774278215223,126.79404579930012,218.83491401691785,0.6298175619855256,true,0.01889079694535874,true,18.0,18.0,8.6,4.3999999999999995,13.0,0.05
16.0,22.0,40.0,EFM (ASAP),8.805774278215223,126.79404579930012,218.83491401691785,0.6298175619855256,true,0.01889079694535874,true,18.0,18.0,8.6,4.3999999999999995,13.0,0.115
16.0,22.0,40.0,FEA,8.805774278215223,126.79404579930012,218.83491401691785,0.6428921430864866,true,0.06490395516294584,true,18.0,18.0,6.599999999999999,4.3999999999999995,10.999999999999998,7.414
16.0,22.0,50.0,MDDM,8.805774278215223,136.06452597794274,234.83491401691788,0.8986381214885459,true,0.023613496181698408,true,18.0,18.0,7.199999999999999,4.3999999999999995,11.6,0.048
16.0,22.0,50.0,DDM (Full),8.805774278215223,136.06452597794274,234.83491401691788,0.8986381214885459,true,0.023613496181698408,true,18.0,18.0,7.3999999999999995,4.3999999999999995,11.799999999999999,0.111
