span_ft,live_psf,method,h_in,M0_kipft,qu_psf,punch_ratio,punch_ok,defl_ratio,defl_ok,col_min_in,col_max_in,As_cs_in2,As_ms_in2,As_total_in2,runtime_s
16.0,40.0,MDDM,6.404199475065617,78.96097243257863,183.15266473957664,0.9433491087301363,true,0.04910869284037587,true,16.0,16.0,4.199999999999999,2.4,6.599999999999999,0.018
16.0,40.0,DDM (Full),6.404199475065617,78.96097243257863,183.15266473957664,0.9433491087301363,true,0.04910869284037587,true,16.0,16.0,4.3999999999999995,2.4,6.8,0.02
16.0,40.0,EFM (HC),6.404199475065617,78.96097243257863,183.15266473957664,0.7816105392563888,true,0.04910869284037587,true,16.0,16.0,5.2,2.4,7.6,0.024
16.0,40.0,EFM (ASAP),6.404199475065617,78.96097243257863,183.15266473957664,0.7674033363258921,true,0.04910869284037587,true,16.0,16.0,5.2,2.4,7.6,0.03
16.0,40.0,FEA,6.404199475065617,78.96097243257863,183.15266473957664,0.9968941887086413,true,0.04910869284037587,true,16.0,16.0,3.6,2.4,6.000000000000001,1.831
16.0,50.0,MDDM,7.0,89.16689838545635,208.0049823198569,0.8090974300136266,true,0.04700768017561303,true,16.0,18.0,4.6000000000000005,2.8000000000000003,7.4,0.056
16.0,50.0,DDM (Full),7.0,89.16689838545635,208.0049823198569,0.8090974300136266,true,0.04700768017561303,true,16.0,18.0,4.8,2.8000000000000003,7.6,0.06
16.0,50.0,EFM (HC),7.0,89.67533013047219,208.0049823198569,0.7534073495393472,true,0.04700768017561303,true,16.0,16.0,5.6000000000000005,2.8000000000000003,8.4,0.042
16.0,50.0,EFM (ASAP),7.0,89.67533013047219,208.0049823198569,0.7396203178812876,true,0.04700768017561303,true,16.0,16.0,5.6000000000000005,2.8000000000000003,8.4,0.046
16.0,50.0,FEA,6.404199475065617,85.37211571557368,199.15266473957664,0.9336765848099552,true,0.0613858660504699,true,16.0,18.0,3.8,2.4,6.199999999999999,2.757
16.0,80.0,MDDM,9.0,121.78540680358519,285.72069155410173,0.6836895110048044,true,0.03538794908144918,true,16.0,20.0,5.0,3.2,8.2,0.214
16.0,80.0,DDM (Full),9.0,121.78540680358519,285.72069155410173,0.6836895110048044,true,0.03538794908144918,true,16.0,20.0,5.2,3.2,8.4,0.206
16.0,80.0,EFM (HC),9.0,122.8307644212589,285.72069155410173,0.6387912926078065,true,0.03538794908144918,true,16.0,18.0,6.000000000000001,3.2,9.200000000000001,0.11
16.0,80.0,EFM (ASAP),9.0,122.8307644212589,285.72069155410173,0.6387912926078065,true,0.03538794908144918,true,16.0,18.0,6.000000000000001,3.2,9.200000000000001,0.193
16.0,80.0,FEA,6.404199475065617,105.34619545466147,247.1526647395766,0.9803243403276848,true,0.09821738568075182,true,16.0,20.0,3.9999999999999996,2.4,6.4,3.771
20.0,40.0,MDDM,9.0,190.1036694515957,221.72069155410173,0.8626875534324911,true,0.034558544024852686,true,17.0,21.0,6.8,3.9999999999999996,10.799999999999999,0.072
20.0,40.0,DDM (Full),9.0,190.1036694515957,221.72069155410173,0.8626875534324911,true,0.034558544024852686,true,17.0,21.0,7.0,3.9999999999999996,11.0,0.136
20.0,40.0,EFM (HC),9.0,191.8189529260865,221.72069155410173,0.7923033149775621,true,0.034558544024852686,true,17.0,17.0,8.2,3.9999999999999996,12.2,0.046
20.0,40.0,EFM (ASAP),9.0,191.8189529260865,221.72069155410173,0.7762068446025909,true,0.034558544024852686,true,17.0,17.0,8.2,3.9999999999999996,12.2,0.052
20.0,40.0,FEA,8.00524934383202,177.43139371593026,206.9408309244708,0.9590653878344473,true,0.04910869284037592,true,17.0,21.0,5.3999999999999995,3.5999999999999996,8.999999999999998,9.543
20.0,50.0,MDDM,10.0,215.58752989390362,252.57854617122416,0.7804374058061503,true,0.031491473242647006,true,17.0,23.0,7.2,4.3999999999999995,11.6,0.869
20.0,50.0,DDM (Full),10.0,215.58752989390362,252.57854617122416,0.7804374058061503,true,0.031491473242647006,true,17.0,23.0,7.3999999999999995,4.3999999999999995,11.799999999999999,0.12
20.0,50.0,EFM (HC),10.0,218.5152496077948,252.57854617122416,0.7328420315516224,true,0.031491473242647006,true,17.0,17.0,8.600000000000001,4.3999999999999995,13.000000000000002,0.07
20.0,50.0,EFM (ASAP),10.0,218.5152496077948,252.57854617122416,0.7251365876445456,true,0.031491473242647006,true,17.0,17.0,8.600000000000001,4.3999999999999995,13.000000000000002,0.093
20.0,50.0,FEA,8.00524934383202,190.2903622658385,222.94083092447076,0.9335229005133031,true,0.06138586605046992,true,17.0,23.0,5.3999999999999995,3.5999999999999996,8.999999999999998,11.011
20.0,80.0,FEA,8.00524934383202,227.62337403127648,270.94083092447073,0.9796654206284781,true,0.0982173856807518,true,17.0,26.999999999999996,6.199999999999999,3.5999999999999996,9.799999999999999,15.543
24.0,40.0,MDDM,12.5,405.0892640680395,273.7231827140302,0.8107480656591226,true,0.022289312056645277,true,20.0,25.999999999999996,11.0,6.8,17.8,0.204
24.0,40.0,DDM (Full),12.5,405.0892640680395,273.7231827140302,0.8107480656591226,true,0.022289312056645277,true,20.0,25.999999999999996,11.2,6.8,17.999999999999996,0.143
24.0,40.0,EFM (HC),12.5,409.66325196688393,273.7231827140302,0.7314554187463588,true,0.022289312056645277,true,20.0,22.0,12.8,6.8,19.6,0.174
24.0,40.0,EFM (ASAP),12.5,410.4280797931728,273.7231827140302,0.7314554187463588,true,0.022289312056645277,true,20.0,20.0,12.8,6.8,19.6,0.098
24.0,40.0,FEA,9.606299212598426,342.4230318157671,230.72899710936494,0.9772804385720825,true,0.049108692840375896,true,20.0,25.999999999999996,8.2,5.199999999999999,13.4,19.563
