floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,M0_kipft,qu_psf,punch_ratio,punch_ok,defl_ratio,defl_ok,col_min_in,col_max_in,As_cs_in2,As_ms_in2,As_total_in2,runtime_s
flat_plate,16.0,16.0,12.007874015748031,40.0,MDDM,6.404199475065617,78.96097243257863,183.15266473957664,0.8990216234668867,true,0.04910869284037587,true,16.0,16.0,5.6,2.4,7.999999999999999,0.295
flat_plate,16.0,16.0,12.007874015748031,40.0,DDM (Full),6.404199475065617,78.96097243257863,183.15266473957664,0.8990216234668867,true,0.04910869284037587,true,16.0,16.0,5.999999999999999,2.4,8.399999999999999,0.032
flat_plate,16.0,16.0,12.007874015748031,40.0,EFM (HC),6.404199475065617,78.96097243257863,183.15266473957664,0.9958830673870795,true,0.04910869284037587,true,16.0,16.0,7.4,2.4,9.8,0.207
flat_plate,16.0,16.0,12.007874015748031,40.0,EFM (ASAP),6.404199475065617,78.96097243257863,183.15266473957664,0.9853262664779796,true,0.04910869284037587,true,16.0,16.0,7.199999999999999,2.4,9.599999999999998,0.064
flat_plate,16.0,16.0,12.007874015748031,40.0,FEA,6.404199475065617,78.5132878247424,183.15266473957664,0.8896807021620546,true,0.08040662777603473,true,16.0,18.0,5.8,2.4,8.2,11.874
flat_plate,16.0,16.0,12.007874015748031,50.0,MDDM,6.404199475065617,85.85890952084128,199.15266473957664,0.9775590883512942,true,0.0613858660504699,true,16.0,16.0,6.199999999999999,2.4,8.6,0.027
flat_plate,16.0,16.0,12.007874015748031,50.0,DDM (Full),6.404199475065617,85.85890952084128,199.15266473957664,0.9775590883512942,true,0.0613858660504699,true,16.0,16.0,6.599999999999999,2.4,8.999999999999998,0.026
flat_plate,16.0,16.0,12.007874015748031,50.0,EFM (HC),6.404199475065617,85.61533962919503,199.15266473957664,0.9884590754877898,true,0.0613858660504699,true,16.0,18.0,7.999999999999999,2.4,10.399999999999999,0.048
flat_plate,16.0,16.0,12.007874015748031,50.0,EFM (ASAP),6.404199475065617,85.61533962919503,199.15266473957664,0.9769206394818398,true,0.0613858660504699,true,16.0,18.0,7.999999999999999,2.4,10.399999999999999,0.103
flat_plate,16.0,16.0,12.007874015748031,50.0,FEA,6.404199475065617,85.37211571557368,199.15266473957664,0.9674836573520756,true,0.10041804011186464,true,16.0,18.0,6.4,2.4,8.799999999999999,4.139
flat_plate,16.0,16.0,12.007874015748031,80.0,MDDM,6.404199475065617,104.14653998031608,247.1526647395766,0.8956524750834801,true,0.09821738568075182,true,16.0,20.0,7.3999999999999995,2.4,9.799999999999999,0.154
flat_plate,16.0,16.0,12.007874015748031,80.0,DDM (Full),6.404199475065617,104.14653998031608,247.1526647395766,0.8956524750834801,true,0.09821738568075182,true,16.0,20.0,7.999999999999999,2.4,10.399999999999999,0.121
flat_plate,16.0,16.0,12.007874015748031,80.0,EFM (HC),6.404199475065617,105.34619545466147,247.1526647395766,0.9644704346611875,true,0.09821738568075182,true,16.0,23.999999999999996,9.599999999999998,2.4,11.999999999999998,0.11
