span_ft,live_psf,method,h_in,M0_kipft,qu_psf,punch_ratio,punch_ok,defl_ratio,defl_ok,col_min_in,col_max_in,As_cs_in2,As_ms_in2,As_total_in2,runtime_s
20.0,50.0,EFM (ASAP),10.0,218.5152496077948,252.57854617122416,0.7251365876445456,true,0.031491473242647006,true,17.0,17.0,8.600000000000001,4.3999999999999995,13.000000000000002,0.078
20.0,50.0,FEA,8.00524934383202,190.2903622658385,222.94083092447076,0.9353865022098315,true,0.06138586605046992,true,17.0,23.0,5.3999999999999995,3.5999999999999996,8.999999999999998,11.722
20.0,80.0,MDDM,12.5,283.08395966206376,337.7231827140302,0.6737029970794504,true,0.02579781488037644,true,17.0,24.999999999999996,8.600000000000001,5.6000000000000005,14.200000000000001,0.362
20.0,80.0,DDM (Full),12.5,283.08395966206376,337.7231827140302,0.6737029970794504,true,0.02579781488037644,true,17.0,24.999999999999996,8.799999999999999,5.6000000000000005,14.4,0.994
20.0,80.0,EFM (HC),12.5,287.6125587318085,337.7231827140302,0.6522365701242433,true,0.02579781488037644,true,17.0,23.0,9.8,5.6000000000000005,15.400000000000002,0.303
20.0,80.0,EFM (ASAP),12.5,287.6125587318085,337.7231827140302,0.6522365701242433,true,0.02579781488037644,true,17.0,23.0,9.8,5.6000000000000005,15.400000000000002,0.23
20.0,80.0,FEA,8.00524934383202,227.88221932685565,270.94083092447073,0.9915826241212772,true,0.0982173856807518,true,17.0,26.999999999999996,6.199999999999999,3.5999999999999996,9.799999999999999,15.867
24.0,40.0,MDDM,12.5,405.0892640680395,273.7231827140302,0.8107480656591226,true,0.022289312056645277,true,20.0,25.999999999999996,11.0,6.8,17.8,0.203
24.0,40.0,DDM (Full),12.5,405.0892640680395,273.7231827140302,0.8107480656591226,true,0.022289312056645277,true,20.0,25.999999999999996,11.2,6.8,17.999999999999996,0.13
24.0,40.0,EFM (HC),12.5,409.66325196688393,273.7231827140302,0.7314554187463588,true,0.022289312056645277,true,20.0,22.0,12.8,6.8,19.6,0.14
24.0,40.0,EFM (ASAP),12.5,410.4280797931728,273.7231827140302,0.7314554187463588,true,0.022289312056645277,true,20.0,20.0,12.8,6.8,19.6,0.096
24.0,40.0,FEA,9.606299212598426,342.4230318157671,230.72899710936494,0.9626721742024206,true,0.049108692840375896,true,20.0,25.999999999999996,8.2,5.199999999999999,13.4,18.681
24.0,50.0,MDDM,13.5,448.2224157511991,304.58103733115263,0.7434661173833839,true,0.022117468175905743,true,20.0,27.999999999999993,11.399999999999999,7.199999999999999,18.599999999999998,0.242
24.0,50.0,DDM (Full),13.5,448.2224157511991,304.58103733115263,0.7434661173833839,true,0.022117468175905743,true,20.0,27.999999999999993,11.799999999999999,7.199999999999999,19.0,0.221
24.0,50.0,EFM (HC),13.5,454.9958911302302,304.58103733115263,0.7324612728355577,true,0.022117468175905743,true,20.0,23.999999999999996,13.4,7.199999999999999,20.599999999999998,0.23
24.0,50.0,EFM (ASAP),13.5,455.84614720370644,304.58103733115263,0.7324612728355577,true,0.022117468175905743,true,20.0,22.0,13.4,7.199999999999999,20.599999999999998,0.207
24.0,50.0,FEA,9.606299212598426,363.77078589150665,246.7289971093649,0.996216315895434,true,0.06138586605046984,true,20.0,27.999999999999993,8.2,5.199999999999999,13.4,22.718
24.0,80.0,MDDM,16.5,573.5068739397109,397.15460118251985,0.6325566154646164,true,0.019382280150545786,true,20.0,31.99999999999999,13.199999999999998,8.799999999999999,21.999999999999996,0.365
24.0,80.0,DDM (Full),16.5,573.5068739397109,397.15460118251985,0.6325566154646164,true,0.019382280150545786,true,20.0,31.99999999999999,13.4,8.799999999999999,22.2,0.337
24.0,80.0,EFM (HC),17.0,592.0297692457369,404.58352849108104,0.6185431439655636,true,0.017721885858186553,true,20.0,29.999999999999993,15.400000000000002,9.200000000000001,24.6,0.292
24.0,80.0,EFM (ASAP),17.0,593.1475909815014,404.58352849108104,0.6185431439655636,true,0.017721885858186553,true,20.0,27.999999999999993,15.400000000000002,9.200000000000001,24.6,0.319
24.0,80.0,FEA,9.606299212598426,426.0046392585692,294.7289971093649,0.975983323442773,true,0.09821738568075175,true,20.0,31.99999999999999,8.6,5.199999999999999,13.799999999999999,33.847
28.0,40.0,MDDM,17.0,794.2241955703797,340.5835284910811,0.7300157594674738,true,0.01402147783277176,true,23.0,32.99999999999999,16.2,10.399999999999999,26.599999999999998,0.265
28.0,40.0,DDM (Full),17.0,794.2241955703797,340.5835284910811,0.7300157594674738,true,0.01402147783277176,true,23.0,32.99999999999999,16.599999999999998,10.399999999999999,26.999999999999996,0.285
28.0,40.0,EFM (HC),17.0,807.0931367984527,340.5835284910811,0.7300160320370122,true,0.01402147783277176,true,23.0,26.999999999999996,18.8,10.399999999999999,29.2,0.211
28.0,40.0,EFM (ASAP),17.0,807.0931367984527,340.5835284910811,0.731996469764404,true,0.01402147783277176,true,23.0,26.999999999999996,18.8,10.399999999999999,29.2,0.213
28.0,40.0,FEA,11.194225721784777,594.9826628885791,254.32217832553047,0.9772506330561229,true,0.049108692840375924,true,23.0,30.999999999999993,10.4,6.8,17.200000000000003,48.744
28.0,50.0,MDDM,18.5,877.8130768188531,378.87031041676465,0.7200198719827074,true,0.013599889560817278,true,23.0,32.99999999999999,17.0,11.200000000000001,28.200000000000003,1.1
28.0,50.0,DDM (Full),18.5,877.8130768188531,378.87031041676465,0.7200198719827074,true,0.013599889560817278,true,23.0,32.99999999999999,17.4,11.200000000000001,28.6,0.33
28.0,50.0,EFM (HC),18.5,889.2195424514272,378.87031041676465,0.6802388166476236,true,0.013599889560817278,true,23.0,30.999999999999993,19.6,11.200000000000001,30.800000000000004,0.24
28.0,50.0,EFM (ASAP),18.5,890.650527852489,378.87031041676465,0.684597248710772,true,0.013599889560817278,true,23.0,28.999999999999993,19.6,11.200000000000001,30.800000000000004,0.253
28.0,50.0,FEA,11.194225721784777,628.3451769307131,270.32217832553044,0.9600965389669232,true,0.061385866050469896,true,23.0,32.99999999999999,10.4,6.8,17.200000000000003,57.262
28.0,80.0,MDDM,22.5,1108.555167817284,486.30172888525436,0.662845712888402,true,0.012095476866705323,true,24.999999999999996,34.999999999999986,21.0,14.0,35.0,1.198
28.0,80.0,DDM (Full),22.5,1108.555167817284,486.30172888525436,0.662845712888402,true,0.012095476866705323,true,24.999999999999996,34.999999999999986,21.0,14.0,35.0,0.357
28.0,80.0,EFM (HC),22.5,1119.4383430984742,486.30172888525436,0.6004558613611626,true,0.012095476866705323,true,23.0,34.999999999999986,22.8,14.0,36.800000000000004,0.317
28.0,80.0,EFM (ASAP),22.5,1119.4383430984742,486.30172888525436,0.6078483440431103,true,0.012095476866705323,true,23.0,34.999999999999986,22.6,14.0,36.6,0.336
28.0,80.0,FEA,11.194225721784777,725.6352894786547,318.3221783255304,1.0,true,0.09821738568075185,true,23.0,34.999999999999986,12.2,7.0,19.2,65.847
