lx_ft,ly_ft,live_psf,method,h_in,M0_kipft,qu_psf,punch_ratio,punch_ok,defl_ratio,defl_ok,col_min_in,col_max_in,As_cs_in2,As_ms_in2,As_total_in2,runtime_s
16.0,16.0,40.0,MDDM,6.404199475065617,78.96097243257863,183.15266473957664,0.9433491087301363,true,0.04910869284037587,true,16.0,16.0,5.4,2.4,7.800000000000001,0.202
16.0,16.0,40.0,DDM (Full),6.404199475065617,78.96097243257863,183.15266473957664,0.9433491087301363,true,0.04910869284037587,true,16.0,16.0,5.8,2.4,8.2,0.047
16.0,16.0,40.0,EFM (HC),6.404199475065617,78.96097243257863,183.15266473957664,0.7740745031263232,true,0.04910869284037587,true,16.0,16.0,7.199999999999999,2.4,9.599999999999998,0.18
16.0,16.0,40.0,EFM (ASAP),6.404199475065617,78.96097243257863,183.15266473957664,0.7635177022172229,true,0.04910869284037587,true,16.0,16.0,7.0,2.4,9.4,0.139
16.0,16.0,40.0,FEA,6.404199475065617,78.96097243257863,183.15266473957664,0.9111279529099047,true,0.07963311042725808,true,16.0,16.0,5.2,2.4,7.6,3.774
16.0,16.0,50.0,MDDM,6.404199475065617,85.37211571557368,199.15266473957664,0.8810810472025304,true,0.0613858660504699,true,16.0,18.0,5.8,2.4,8.2,0.061
16.0,16.0,50.0,DDM (Full),6.404199475065617,85.37211571557368,199.15266473957664,0.8810810472025304,true,0.0613858660504699,true,16.0,18.0,6.4,2.4,8.799999999999999,0.052
16.0,16.0,50.0,EFM (HC),6.404199475065617,85.85890952084128,199.15266473957664,0.8416967354734832,true,0.0613858660504699,true,16.0,16.0,7.800000000000001,2.4,10.2,0.032
16.0,16.0,50.0,EFM (ASAP),6.404199475065617,85.85890952084128,199.15266473957664,0.8302177049326942,true,0.0613858660504699,true,16.0,16.0,7.800000000000001,2.4,10.2,0.039
16.0,16.0,50.0,FEA,6.404199475065617,85.85890952084128,199.15266473957664,0.9905984317694966,true,0.09956649442517942,true,16.0,16.0,5.8,2.4,8.2,2.027
16.0,16.0,80.0,MDDM,6.404199475065617,105.34619545466147,247.1526647395766,0.954190564403302,true,0.09821738568075182,true,16.0,20.0,7.0,2.4,9.4,0.187
16.0,16.0,80.0,DDM (Full),6.404199475065617,105.34619545466147,247.1526647395766,0.954190564403302,true,0.09821738568075182,true,16.0,20.0,7.799999999999999,2.4,10.2,0.077
16.0,16.0,80.0,EFM (HC),6.404199475065617,106.25044540382892,247.1526647395766,0.9602133945693716,true,0.09821738568075182,true,16.0,18.0,9.599999999999998,2.4,11.999999999999998,0.04
16.0,16.0,80.0,EFM (ASAP),6.404199475065617,106.25044540382892,247.1526647395766,0.9459495442174493,true,0.09821738568075182,true,16.0,18.0,9.599999999999998,2.4,11.999999999999998,0.099
16.0,16.0,80.0,FEA,6.404199475065617,105.94859938806752,247.1526647395766,0.906128304570839,true,0.14630089992006642,true,16.0,18.0,7.0,2.6,9.6,4.063
20.0,20.0,40.0,MDDM,8.00524934383202,177.43139371593026,206.9408309244708,0.949109598053831,true,0.04910869284037592,true,17.0,21.0,8.999999999999998,3.5999999999999996,12.599999999999998,0.113
20.0,20.0,40.0,DDM (Full),8.00524934383202,177.43139371593026,206.9408309244708,0.949109598053831,true,0.04910869284037592,true,17.0,21.0,9.8,3.5999999999999996,13.4,0.109
20.0,20.0,40.0,EFM (HC),8.00524934383202,179.03233670863926,206.9408309244708,0.9137695776844775,true,0.04910869284037592,true,17.0,17.0,12.2,3.5999999999999996,15.799999999999999,0.06
20.0,20.0,40.0,EFM (ASAP),8.00524934383202,179.03233670863926,206.9408309244708,0.8999254513518467,true,0.04910869284037592,true,17.0,17.0,12.2,3.5999999999999996,15.799999999999999,0.129
20.0,20.0,40.0,FEA,8.00524934383202,178.23096644223762,206.9408309244708,0.7906615422053604,true,0.07833746471910744,true,17.0,19.0,7.799999999999999,3.5999999999999996,11.399999999999999,9.431
