floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,M0_kipft,qu_psf,punch_ratio,punch_ok,defl_ratio,defl_ok,col_min_in,col_max_in,As_cs_in2,As_ms_in2,As_total_in2,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft
flat_plate,16.0,16.0,12.007874015748031,40.0,MDDM,6.404199475065617,77.17787036971933,183.15266473957664,0.760068311906233,true,0.04910869284037587,true,18.0,18.0,5.6,2.4,7.999999999999999,0.529,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,40.0,DDM (Full),6.404199475065617,77.17787036971933,183.15266473957664,0.760068311906233,true,0.04910869284037587,true,18.0,18.0,5.999999999999999,2.4,8.399999999999999,0.273,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,40.0,EFM (HC),6.404199475065617,77.17787036971933,183.15266473957664,0.9029458137151224,true,0.04910869284037587,true,18.0,18.0,7.199999999999999,2.4,9.599999999999998,0.464,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,40.0,EFM (ASAP),6.404199475065617,77.17787036971933,183.15266473957664,0.8915943809715335,true,0.04910869284037587,true,18.0,18.0,7.199999999999999,2.4,9.599999999999998,0.212,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,50.0,MDDM,6.404199475065617,83.9200377723685,199.15266473957664,0.8264669799670636,true,0.0613858660504699,true,18.0,18.0,6.199999999999999,2.4,8.6,0.187,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,50.0,DDM (Full),6.404199475065617,83.9200377723685,199.15266473957664,0.8264669799670636,true,0.0613858660504699,true,18.0,18.0,6.599999999999999,2.4,8.999999999999998,0.188,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,50.0,EFM (HC),6.404199475065617,83.9200377723685,199.15266473957664,0.981826091214684,true,0.0613858660504699,true,18.0,18.0,7.999999999999999,2.4,10.399999999999999,0.186,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,50.0,EFM (ASAP),6.404199475065617,83.9200377723685,199.15266473957664,0.9694830107429245,true,0.0613858660504699,true,18.0,18.0,7.999999999999999,2.4,10.399999999999999,0.213,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,80.0,MDDM,6.404199475065617,102.95375436259309,247.1526647395766,0.8883923671033509,true,0.09821738568075182,true,18.0,20.0,7.3999999999999995,2.4,9.799999999999999,0.357,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,80.0,DDM (Full),6.404199475065617,102.95375436259309,247.1526647395766,0.8883923671033509,true,0.09821738568075182,true,18.0,20.0,7.799999999999999,2.4,10.2,0.244,0.0,0.0,0.0
