floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,M0_kipft,qu_psf,punch_ratio,punch_ok,defl_ratio,defl_ok,col_min_in,col_max_in,As_cs_in2,As_ms_in2,As_total_in2,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft
flat_slab,16.0,16.0,12.007874015748031,40.0,MDDM,5.821999522786926,76.83305429330805,178.2168861448048,0.6208132809657575,true,0.06536367017054028,true,16.0,16.0,6.199999999999999,2.4,8.6,3.192,2.25,2.6684164479440073,2.6684164479440073
flat_slab,16.0,16.0,12.007874015748031,40.0,DDM (Full),5.821999522786926,76.83305429330805,178.2168861448048,0.6208132809657575,true,0.06536367017054028,true,16.0,16.0,6.599999999999999,2.4,8.999999999999998,0.029,2.25,2.6684164479440073,2.6684164479440073
flat_slab,16.0,16.0,12.007874015748031,40.0,EFM (HC),5.821999522786926,75.23167075556644,174.5024224905242,0.8200202941511704,true,0.0653636701705403,true,16.0,16.0,7.6,2.4,10.0,3.262,2.25,2.6684164479440073,2.6684164479440073
flat_slab,16.0,16.0,12.007874015748031,40.0,EFM (ASAP),5.821999522786926,75.23167075556644,174.5024224905242,0.6754442275620101,true,0.06536367017054032,true,16.0,16.0,7.800000000000001,2.4,10.2,0.149,2.25,2.6684164479440073,2.6684164479440073
flat_slab,16.0,16.0,12.007874015748031,40.0,FEA,5.821999522786926,75.23167075556644,174.5024224905242,0.6711516814936823,true,0.0993880853724237,true,16.0,16.0,7.2,2.4,9.6,4.785,2.25,2.6684164479440073,2.6684164479440073
flat_slab,16.0,16.0,12.007874015748031,50.0,MDDM,5.821999522786926,83.73099138157069,194.2168861448048,0.6765488103553876,true,0.08170458771317532,true,16.0,16.0,6.599999999999999,2.4,8.999999999999998,0.027,2.25,2.6684164479440073,2.6684164479440073
flat_slab,16.0,16.0,12.007874015748031,50.0,DDM (Full),5.821999522786926,83.73099138157069,194.2168861448048,0.6765488103553876,true,0.08170458771317532,true,16.0,16.0,7.0,2.4,9.4,0.02,2.25,2.6684164479440073,2.6684164479440073
flat_slab,16.0,16.0,12.007874015748031,50.0,EFM (HC),5.821999522786926,82.12960784382909,190.50242249052422,0.895207357569337,true,0.08170458771317532,true,16.0,16.0,8.4,2.4,10.8,0.022,2.25,2.6684164479440073,2.6684164479440073
flat_slab,16.0,16.0,12.007874015748031,50.0,EFM (ASAP),5.821999522786926,82.12960784382909,190.50242249052422,0.7373752167525987,true,0.08170458771317532,true,16.0,16.0,8.4,2.4,10.8,0.028,2.25,2.6684164479440073,2.6684164479440073
flat_slab,16.0,16.0,12.007874015748031,50.0,FEA,5.821999522786926,82.12960784382909,190.50242249052422,0.7665356049027565,true,0.12182998452595264,true,16.0,16.0,7.0,2.4,9.4,1.121,2.25,2.6684164479440073,2.6684164479440073
