lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,M0_kipft,qu_psf,punch_ratio,punch_ok,defl_ratio,defl_ok,col_min_in,col_max_in,As_cs_in2,As_ms_in2,As_total_in2,runtime_s
16.0,16.0,12.007874015748031,40.0,MDDM,6.404199475065617,78.5132878247424,183.15266473957664,0.8930098939310932,true,0.08090247718272045,true,16.0,18.0,5.8,2.4,8.2,4.644
16.0,16.0,12.007874015748031,40.0,DDM (Full),6.404199475065617,78.5132878247424,183.15266473957664,0.8897315447865795,true,0.08034339884276041,true,16.0,18.0,5.8,2.4,8.2,4.41
16.0,16.0,12.007874015748031,40.0,EFM (HC),6.404199475065617,78.96097243257863,183.15266473957664,0.9958830673870795,true,0.04910869284037587,true,16.0,16.0,7.199999999999999,2.4,9.599999999999998,0.234
16.0,16.0,12.007874015748031,40.0,EFM (ASAP),6.404199475065617,78.96097243257863,183.15266473957664,0.9853262664779796,true,0.04910869284037587,true,16.0,16.0,7.0,2.4,9.4,0.073
16.0,16.0,12.007874015748031,40.0,FEA,6.404199475065617,78.5132878247424,183.15266473957664,0.8897347463258184,true,0.0803645702011701,true,16.0,18.0,5.8,2.4,8.2,4.327
16.0,16.0,12.007874015748031,50.0,MDDM,6.404199475065617,85.37211571557368,199.15266473957664,0.9674085261016903,true,0.10044715165600139,true,16.0,18.0,6.199999999999999,2.4,8.6,3.328
16.0,16.0,12.007874015748031,50.0,DDM (Full),6.404199475065617,85.37211571557368,199.15266473957664,0.9675024744834609,true,0.10043227929489351,true,16.0,18.0,6.199999999999999,2.4,8.6,3.11
16.0,16.0,12.007874015748031,50.0,EFM (HC),6.404199475065617,85.61533962919503,199.15266473957664,0.9884590754877898,true,0.0613858660504699,true,16.0,18.0,7.800000000000001,2.4,10.2,0.174
16.0,16.0,12.007874015748031,50.0,EFM (ASAP),6.404199475065617,85.61533962919503,199.15266473957664,0.9769206394818398,true,0.0613858660504699,true,16.0,18.0,7.800000000000001,2.4,10.2,0.064
16.0,16.0,12.007874015748031,50.0,FEA,6.404199475065617,85.37211571557368,199.15266473957664,0.9674316343194987,true,0.1004434401741378,true,16.0,18.0,6.199999999999999,2.4,8.6,4.055
16.0,16.0,12.007874015748031,80.0,MDDM,6.404199475065617,104.74550898541099,247.1526647395766,0.9594389861135998,true,0.1605634652872725,true,16.0,22.0,7.6,2.4,10.0,6.262
16.0,16.0,12.007874015748031,80.0,DDM (Full),6.404199475065617,104.74550898541099,247.1526647395766,0.9593842928081753,true,0.16051115811719108,true,16.0,22.0,7.6,2.4,10.0,5.476
16.0,16.0,12.007874015748031,80.0,EFM (HC),6.404199475065617,105.34619545466147,247.1526647395766,0.9644704346611875,true,0.09821738568075182,true,16.0,23.999999999999996,9.4,2.4,11.799999999999999,0.742
16.0,16.0,12.007874015748031,80.0,EFM (ASAP),6.404199475065617,105.34619545466147,247.1526647395766,0.9510400282076035,true,0.09821738568075182,true,16.0,23.999999999999996,9.4,2.4,11.799999999999999,0.088
16.0,16.0,12.007874015748031,80.0,FEA,6.404199475065617,104.74550898541099,247.1526647395766,0.9592266293797409,true,0.1613876636406397,true,16.0,22.0,7.6,2.4,10.0,5.766
20.0,20.0,12.007874015748031,40.0,MDDM,8.00524934383202,176.63361852971732,206.9408309244708,0.9066743930561211,true,0.08170633644605216,true,17.0,23.0,9.599999999999998,3.5999999999999996,13.199999999999998,6.915
20.0,20.0,12.007874015748031,40.0,DDM (Full),8.00524934383202,176.63361852971732,206.9408309244708,0.9049387791190392,true,0.08178303649687327,true,17.0,23.0,9.6,3.5999999999999996,13.199999999999998,7.65
20.0,20.0,12.007874015748031,40.0,EFM (HC),8.00524934383202,177.83095538657213,206.9408309244708,0.9609919416224243,true,0.04910869284037592,true,17.0,23.0,11.799999999999999,3.5999999999999996,15.399999999999999,0.169
20.0,20.0,12.007874015748031,40.0,EFM (ASAP),8.00524934383202,177.83095538657213,206.9408309244708,0.9457979252412668,true,0.04910869284037592,true,17.0,23.0,11.6,3.5999999999999996,15.2,0.1
20.0,20.0,12.007874015748031,40.0,FEA,8.00524934383202,176.63361852971732,206.9408309244708,0.906409185840075,true,0.08172685208647695,true,17.0,23.0,9.599999999999998,3.5999999999999996,13.199999999999998,6.801
20.0,20.0,12.007874015748031,50.0,MDDM,8.00524934383202,190.2903622658385,222.94083092447076,0.9776781803306803,true,0.10280224855649554,true,17.0,23.0,10.2,3.5999999999999996,13.799999999999999,7.81
